"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"BHARTIARTL","EQ","26-Nov-2020","        464.10","        468.70","        469.65","        460.10","        469.00","        468.40","        465.71","   11322533","          5273040451.05","     133329"
"BHARTIARTL","EQ","27-Nov-2020","        468.40","        468.30","        472.65","        462.00","        465.00","        463.25","        465.57","   18151096","          8450527177.60","     185490"
"BHARTIARTL","EQ","01-Dec-2020","        463.25","        467.75","        482.50","        460.50","        479.20","        479.45","        474.19","   18193356","          8627059181.60","     199549"
"BHARTIARTL","EQ","02-Dec-2020","        479.45","        481.00","        487.90","        474.05","        484.20","        484.90","        481.44","   20562558","          9899563137.50","     189680"
"BHARTIARTL","EQ","03-Dec-2020","        484.90","        487.10","        489.15","        474.00","        479.90","        479.90","        480.22","   19723853","          9471694661.30","     172391"
"BHARTIARTL","EQ","04-Dec-2020","        479.90","        486.85","        497.80","        483.40","        494.50","        493.75","        492.11","   31039563","         15274968845.15","     284386"
"BHARTIARTL","EQ","07-Dec-2020","        493.75","        498.00","        510.50","        494.60","        509.50","        508.95","        503.24","   22125752","         11134639555.00","     205788"
"BHARTIARTL","EQ","08-Dec-2020","        508.95","        514.00","        516.25","        499.65","        502.95","        503.60","        506.57","   19298806","          9776155721.95","     171688"
"BHARTIARTL","EQ","09-Dec-2020","        503.60","        504.90","        506.90","        499.10","        502.75","        503.05","        502.84","   11608846","          5837385008.10","     147016"
"BHARTIARTL","EQ","10-Dec-2020","        503.05","        501.50","        508.75","        494.10","        504.70","        505.15","        501.69","   13194186","          6619376248.80","     126519"
"BHARTIARTL","EQ","11-Dec-2020","        505.15","        508.50","        508.50","        497.30","        505.10","        504.40","        504.23","   13760737","          6938611857.75","     137007"
"BHARTIARTL","EQ","14-Dec-2020","        504.40","        507.00","        512.00","        501.15","        502.70","        503.05","        504.79","   13886923","          7009944011.75","     162325"
"BHARTIARTL","EQ","15-Dec-2020","        503.05","        505.85","        506.80","        498.10","        504.25","        504.20","        502.65","   13074733","          6572013086.15","     146690"
"BHARTIARTL","EQ","16-Dec-2020","        504.20","        504.20","        518.80","        502.10","        518.30","        516.20","        509.87","   17381441","          8862339608.70","     164008"
"BHARTIARTL","EQ","17-Dec-2020","        516.20","        517.00","        522.50","        512.00","        514.00","        515.10","        516.61","   19654749","         10153858361.85","     183941"
"BHARTIARTL","EQ","18-Dec-2020","        515.10","        513.90","        514.90","        505.05","        510.00","        510.65","        510.29","   10797760","          5510041413.30","     139048"
"BHARTIARTL","EQ","21-Dec-2020","        510.65","        507.50","        511.20","        480.15","        490.80","        490.90","        496.79","   15253094","          7577547767.05","     175878"
"BHARTIARTL","EQ","22-Dec-2020","        490.90","        494.00","        505.00","        485.55","        500.35","        500.30","        498.24","   21233811","         10579573245.25","     205917"
"BHARTIARTL","EQ","23-Dec-2020","        500.30","        500.30","        509.50","        498.40","        507.00","        507.20","        503.97","   13081361","          6592634496.20","     177939"
"BHARTIARTL","EQ","24-Dec-2020","        507.20","        520.00","        523.00","        510.45","        516.25","        517.30","        517.81","   20849597","         10796115991.00","     208082"
"BHARTIARTL","EQ","28-Dec-2020","        517.30","        520.10","        527.00","        516.60","        521.50","        521.60","        522.37","   12882390","          6729343198.60","     134281"
"BHARTIARTL","EQ","29-Dec-2020","        521.60","        523.00","        524.95","        515.10","        520.65","        520.25","        520.49","   11246474","          5853727837.45","     132122"
"BHARTIARTL","EQ","30-Dec-2020","        520.25","        523.40","        523.40","        513.30","        516.00","        516.15","        516.11","   10494434","          5416322835.70","     140094"
"BHARTIARTL","EQ","31-Dec-2020","        516.15","        517.10","        518.45","        506.30","        509.50","        509.70","        511.71","   15524994","          7944285299.80","     160584"
