Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-February-2020,533.60,552.85,533.60,546.75,545.883741039360380633,474157,6705,258834597.00,70025,14.77,19.25,13.15
5-February-2020,519.10,537.75,515.65,533.50,526.577009709526561343,1083266,10765,570422971.00,431286,39.81,22.10,14.40
4-February-2020,515.45,522.80,503.90,519.10,512.399917931883463274,316810,5578,162333418.00,30912,9.76,18.90,3.65
3-February-2020,495.55,513.20,495.50,510.30,504.706214086768875617,318824,6957,160912454.00,43808,13.74,17.70,14.75
1-February-2020,497.80,501.05,483.70,497.35,494.136769923430050943,226329,4290,111837481.00,15187,6.71,17.35,-0.45
31-January-2020,487.05,499.15,486.80,496.70,494.023856680468692883,300922,6629,148662647.00,42952,14.27,12.35,9.65
30-January-2020,495.00,495.00,480.10,489.55,486.953704358680952876,240325,5190,117027149.00,35314,14.69,14.90,-5.45
29-January-2020,493.00,501.45,488.50,490.05,493.836144406222846464,420065,8038,207443280.00,65940,15.70,12.95,-2.95
28-January-2020,515.30,515.30,485.95,490.90,491.350189611454612586,1960852,19435,963465002.00,1263569,64.44,29.35,-24.40
27-January-2020,522.40,524.00,511.55,514.30,518.270097571588760020,298755,11020,154835783.00,67839,22.71,12.45,-8.10
24-January-2020,520.10,527.20,514.20,524.05,520.409060974225048257,396315,18096,206245917.00,109185,27.55,13.00,3.95
23-January-2020,516.00,526.00,512.60,523.60,521.773411085846450107,588877,5286,307260361.00,321192,54.54,13.40,7.60
22-January-2020,515.00,524.00,507.15,514.35,513.401762559590119202,443446,6967,227665958.00,75172,16.95,16.85,-0.65
21-January-2020,509.10,515.00,504.40,511.35,509.607306813046598793,1504760,14648,766836691.00,1072079,71.25,10.60,2.25
20-January-2020,501.90,512.70,494.05,509.25,504.985426229234074928,956856,20996,483198335.00,343333,35.88,18.65,7.35
17-January-2020,470.10,503.60,470.10,500.00,496.418355306005264192,1297445,24181,644075513.00,207141,15.97,33.50,29.90
16-January-2020,468.55,476.75,468.55,474.05,472.989470800647490972,401550,8899,189928922.00,158993,39.59,8.20,5.50
15-January-2020,468.00,471.85,465.00,467.75,468.169298510927136014,142169,2394,66559161.00,35583,25.03,6.85,-0.25
14-January-2020,467.00,472.60,467.00,469.45,469.999458708341423781,2765607,7144,1299833793.00,2474117,89.46,5.60,2.45
13-January-2020,456.30,470.25,454.40,468.85,463.536092048727427788,276723,3905,128271098.00,68501,24.75,15.85,12.55
10-January-2020,465.85,465.90,454.20,457.20,460.939103691789600663,636656,10521,293459646.00,178189,27.99,11.70,-8.65
9-January-2020,471.00,474.05,455.30,459.85,462.669440001541633746,622716,10606,288111663.00,74929,12.03,18.75,-11.15
8-January-2020,435.40,460.40,435.40,458.95,450.514158019269133816,387978,5744,174789582.00,27077,6.98,25.00,23.55
7-January-2020,454.00,455.20,443.10,445.35,447.802214835105916300,102581,1895,45935999.00,14257,13.90,12.10,-8.65
6-January-2020,457.00,457.40,444.85,449.50,449.795384131830631763,200439,2943,90156537.00,32986,16.46,12.55,-7.50
3-January-2020,455.00,459.15,451.70,455.00,454.950434511462697089,147522,1942,67115198.00,15191,10.30,7.45,0.00
2-January-2020,454.00,459.35,453.65,455.00,455.558383436193509854,125575,1688,57206744.00,19141,15.24,5.70,1.00
1-January-2020,458.00,460.25,449.80,453.30,454.164298690230555306,178352,2266,81001111.00,18739,10.51,10.45,-4.70
31-December-2019,460.65,462.45,454.50,455.80,459.029666495051770493,174810,2535,80242976.00,23848,13.64,7.95,-4.85
