Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-January-2021,1387.85,1395.00,1361.00,1370.00,1384.128786125923494562,185843,8650,257230646.00,109835,59.10,34.00,-17.85
20-January-2021,1372.90,1392.90,1365.00,1381.95,1383.795668969278313033,220040,8821,304490399.00,112484,51.12,27.90,9.05
19-January-2021,1336.00,1381.85,1336.00,1369.75,1369.513546558213329162,313253,9575,429004227.00,207956,66.39,45.85,33.75
18-January-2021,1347.60,1353.70,1326.80,1334.70,1339.261968375297108244,339102,15567,454146412.00,218789,64.52,26.90,-12.90
15-January-2021,1378.00,1384.80,1345.00,1354.60,1361.019405288857123981,166501,6490,226611092.00,67296,40.42,39.80,-23.40
14-January-2021,1354.30,1389.55,1354.30,1376.40,1366.687056597078478916,422725,9940,577732786.00,295748,69.96,35.25,22.10
13-January-2021,1351.20,1372.75,1344.30,1352.00,1356.139839141666897443,252769,10548,342790111.00,142812,56.50,28.45,0.80
12-January-2021,1351.00,1366.60,1344.50,1349.75,1352.587992527173913043,117760,5728,159280762.00,38611,32.79,22.10,-1.25
11-January-2021,1377.10,1384.80,1344.75,1349.65,1356.425730021319206667,123832,5815,167968911.00,36628,29.58,40.05,-27.45
8-January-2021,1350.00,1382.75,1347.50,1373.20,1369.393510830917602469,426372,14867,583871050.00,254681,59.73,35.25,23.20
7-January-2021,1324.00,1346.95,1324.00,1338.85,1339.840392055713180294,193850,10770,259728060.00,64248,33.14,22.95,14.85
6-January-2021,1309.80,1329.95,1301.95,1313.65,1321.014060329649216193,317489,10396,419407433.00,184905,58.24,28.00,3.85
5-January-2021,1313.70,1313.70,1296.80,1305.95,1303.736873020737562570,156624,6639,204196484.00,72683,46.41,16.90,-7.75
4-January-2021,1303.10,1322.60,1302.35,1314.15,1313.307792731714423389,178474,7869,234391295.00,61450,34.43,20.25,11.05
1-January-2021,1281.00,1299.65,1281.00,1296.75,1295.185835095137420718,66220,3371,85767206.00,19471,29.40,18.65,15.75
31-December-2020,1292.05,1304.00,1282.00,1287.55,1295.411540840112268683,147147,6097,190615922.00,53578,36.41,22.00,-4.50
30-December-2020,1284.70,1296.00,1271.50,1291.60,1282.064326566146330846,82703,3297,106030566.00,30227,36.55,24.50,6.90
29-December-2020,1297.80,1297.80,1267.85,1284.65,1281.739128159897149178,133786,5881,171478751.00,29091,21.74,29.95,-13.15
28-December-2020,1270.25,1291.00,1267.00,1289.10,1280.513512940028150484,141383,6457,181042842.00,44355,31.37,24.00,18.85
24-December-2020,1278.00,1280.65,1254.00,1261.85,1264.517351097552255881,167828,6226,212221418.00,70214,41.84,26.65,-16.15
23-December-2020,1270.00,1271.00,1249.00,1264.40,1261.049480979149936051,168105,6056,211988723.00,71059,42.27,22.00,-5.60
22-December-2020,1232.00,1268.00,1214.00,1262.35,1241.032284010224368077,440125,15251,546209334.00,98844,22.46,54.00,30.35
21-December-2020,1278.00,1338.40,1154.85,1234.75,1270.640851582836017263,1447939,61059,1839810444.00,268037,18.51,183.55,-43.25
18-December-2020,1287.00,1301.00,1270.45,1283.15,1287.019539983074610652,237513,9842,305683872.00,56431,23.76,30.55,-3.85
17-December-2020,1267.60,1283.70,1254.05,1277.80,1270.847780260550613432,189752,7170,241145908.00,54829,28.90,29.65,10.20
16-December-2020,1256.00,1277.60,1247.05,1267.60,1261.137055660311474264,372294,14965,469513759.00,222598,59.79,30.55,11.60
15-December-2020,1252.90,1252.90,1216.35,1246.30,1233.074332058528620992,338091,10858,416891334.00,149022,44.08,36.55,-6.60
14-December-2020,1197.00,1263.60,1197.00,1249.35,1232.932655427173268403,671086,28962,827403844.00,246317,36.70,66.60,52.35
11-December-2020,1191.00,1216.55,1182.00,1194.35,1200.122896522376415518,211495,8493,253819992.00,48539,22.95,34.55,3.35
10-December-2020,1180.00,1193.50,1170.00,1190.30,1179.243424218708225377,411434,21828,485180839.00,246534,59.92,23.50,10.30
9-December-2020,1180.00,1185.00,1167.30,1181.10,1174.505939581410432309,200435,9789,235412098.00,136168,67.94,17.70,1.10
8-December-2020,1175.00,1182.45,1148.65,1171.20,1165.204501258789825505,230380,11160,268439813.00,109303,47.44,33.80,-3.80
7-December-2020,1151.00,1171.90,1144.70,1169.60,1162.672522863995247658,225573,9726,262267529.00,58758,26.05,27.20,18.60
4-December-2020,1127.00,1161.90,1127.00,1149.25,1148.433532337461036638,234836,11029,269693537.00,62609,26.66,34.90,22.25
3-December-2020,1127.00,1135.25,1121.00,1125.05,1122.875677095636449534,491068,16326,551408313.00,357469,72.79,14.25,-1.95
2-December-2020,1116.10,1132.00,1104.20,1113.90,1116.166349361193278368,127112,5972,141878137.00,40734,32.05,27.80,-2.20
1-December-2020,1132.00,1135.00,1111.95,1115.70,1119.522630339295944999,109963,4983,123106067.00,47858,43.52,23.05,-16.30
27-November-2020,1131.00,1139.35,1092.35,1115.80,1126.888516614442741326,221163,12200,249226045.00,84742,38.32,47.00,-15.20
26-November-2020,1129.90,1134.95,1102.25,1119.45,1117.986380512541881735,220860,9818,246918472.00,69432,31.44,32.70,-10.45
25-November-2020,1142.80,1146.00,1112.60,1115.70,1126.578766172836243012,151334,8614,170489671.00,38508,25.45,33.40,-27.10
24-November-2020,1137.70,1144.00,1129.00,1135.35,1135.888327100663970083,157236,6795,178602537.00,41109,26.14,15.00,-2.35
23-November-2020,1138.00,1148.10,1123.20,1125.70,1132.665185185185185185,143775,7109,162848937.00,45887,31.92,24.90,-12.30
20-November-2020,1140.00,1160.00,1118.80,1132.15,1136.923483681503301534,333027,19132,378626217.00,90634,27.22,41.20,-7.85
19-November-2020,1128.85,1176.75,1108.10,1134.95,1145.964095461325378222,384826,20639,440996779.00,80052,20.80,68.65,6.10
18-November-2020,1081.00,1154.00,1079.35,1147.75,1127.921455872953228290,932444,42799,1051723594.00,498284,53.44,74.65,66.75
17-November-2020,1061.00,1096.70,1061.00,1081.25,1083.718744231266229371,325028,13258,352238936.00,112502,34.61,35.70,20.25
